PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,404684595,86729047,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=CC=CC=C43)OCCO,Active,,,,0.014,EC50,=,14,nM,
7,494427311,133083036,COC1=CC(=CC(=C1)N[C@@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,5.7e-05,EC50,=,0.057,nM,
8,519997262,177638562,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=CC=CC=C43)S(=O)(=O)CCCO,Active,,,,0.23,EC50,=,230,nM,
9,520016238,122689701,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=CC(=C(C=C43)OC(F)(F)F)OC)S(=O)(=O)C,Active,,,,5.7e-05,EC50,=,0.057,nM,
10,520018540,121484802,CC1=CC2=C(C=C1OC)NC=C2C(=O)C(C3=C(C=C(C=C3)F)OC)NC4=CC(=CC(=C4)S(=O)(=O)C)OC,Active,,,,0.00061,EC50,=,0.61,nM,
11,520019448,177648653,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=CC=CC=C43)OCCO,Active,,,,0.009,EC50,=,9,nM,
12,520019455,126697711,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)Cl)OCCO)C(=O)C3=CNC4=C3C=CC(=C4)F)S(=O)(=O)C,Active,,,,0.00046,EC50,=,0.46,nM,
13,520020496,122689697,COC1=CC2=C(C=C1)C(=CN2)C(=O)C(C3=C(C=C(C=C3)Cl)OC)NC4=CC(=CC(=C4)S(=O)(=O)C)OC,Active,,,,0.0003,EC50,=,0.3,nM,
14,520021267,126698136,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OCCO)C(=O)C3=CNC4=C3C=CC(=C4)F)S(=O)(=O)C,Active,,,,0.001,EC50,=,1,nM,
15,520021540,122689687,CC1=C(C=CC2=C1NC=C2C(=O)C(C3=C(C=C(C=C3)Cl)OC)NC4=CC(=CC(=C4)S(=O)(=O)C)OC)OC,Active,,,,0.00011,EC50,=,0.11,nM,
16,520041529,177652324,COC1=CC(=CC(=C1)NC(C2=CC=C(C=C2)F)C(=O)C3=CNC4=CC=CC=C43)S(=O)(=O)C,Active,,,,0.009,EC50,=,9,nM,
17,520055856,121484813,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=C3C=CC(=C4)F)S(=O)(=O)C,Active,,,,1e-06,EC50,=,0.001,nM,Outside typical range
18,520056740,177658585,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)F)OC)C(=O)C3=CNC4=CC=CC=C43)S(=O)(=O)C,Active,,,,0.002,EC50,=,2,nM,
19,520056758,122689689,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)C(F)(F)F)S(=O)(=O)C,Active,,,,0.00031,EC50,=,0.31,nM,
20,520057825,126714640,CC1=CC2=C(C=C1OC)NC=C2C(=O)C(C3=C(C=C(C=C3)Cl)OCCO)NC4=CC(=CC(=C4)S(=O)(=O)C)OC,Active,,,,0.00037,EC50,=,0.37,nM,
21,520059798,126698175,CC1=CC2=C(C=C1OC)NC=C2C(=O)C(C3=C(C=C(C=C3)F)OCCO)NC4=CC(=CC(=C4)S(=O)(=O)C)OC,Active,,,,0.00084,EC50,=,0.84,nM,
22,520060885,122689695,COC1=CC(=CC(=C1)NC(C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=CC(=C(C=C43)F)OC)S(=O)(=O)C,Active,,,,0.00034,EC50,=,0.34,nM,
