PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Relation,Standard Value,Activity Comment
11,312361132,118716022,CC1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Unspecified,,,,Ratio CC50/EC50,=,1,
12,312361133,118716023,CC1=CC=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NC3=C(C=C(C=C3)C)C4=CC=CO4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
13,312361134,118716024,CC1=CC(=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NCC3=CC=CC=C3)C4=CC=CO4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
14,312361135,118716025,CC1=CC(=C(C=C1)NC(=O)C2=C(NC=N2)C(=O)NCCC3=CC=C(C=C3)F)C4=CC=CO4,Inconclusive,,,Potential missing data,Ratio CC50/EC50,,,Not Determined
15,312361136,118716026,CC1=CC=C(S1)C2=C(N=CC(=C2)C)NC(=O)C3=C(N=CN3)C(=O)NC4=CC=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,0.97,
16,312361137,118716027,C1=CC(=CC=C1CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,16,
17,312361138,118716028,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CN=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,9,
18,312361139,118716029,C1=CC(=CN=C1)C2=CC=C(C=C2)CNC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,Ratio CC50/EC50,=,13,
19,312361140,118716030,C1=CC=C(C(=C1)C2=CC=NC=C2)NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,Ratio CC50/EC50,=,15,
20,312361141,118716031,C1=CC=C(C(=C1)C2=CN=CC=C2)NC(=O)C3=NC=CN=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,Ratio CC50/EC50,=,2.5,
21,312361142,118716032,C1=CC=C(C(=C1)CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,6,
22,312361143,118716033,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,2.6,
23,312361144,118716034,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,3,
24,312361145,118716035,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CN=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,4.1,
25,312361146,118716036,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CN=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,1.7,
26,312361147,118716037,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,10,
27,312361148,118716038,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=CN=CC=C4,Unspecified,,,,Ratio CC50/EC50,=,1,
28,312361149,118716039,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=CC=C3C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,1.7,
29,312361150,118716040,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=NC=C4,Unspecified,,,,Ratio CC50/EC50,=,3.8,
