PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
20,520074747,177663231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Unspecified,,,,,EC90,,,Could not be calculated,,
21,520078192,177664371,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Active,,,,0.61,EC50,=,610,,nM,
22,520078192,177664371,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
23,520078285,177664460,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,,EC50,,,Could not be calculated,,
24,520078285,177664460,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,,EC90,,,Could not be calculated,,
25,520080198,177665035,CC1=CC(=CS1)C2=CC=C(C=C2)[C@H](C(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4,Active,,,,0.145,EC50,=,145,,nM,
26,520080198,177665035,CC1=CC(=CS1)C2=CC=C(C=C2)[C@H](C(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
27,520080200,177665037,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)NC(=O)C3=CC=CC(=C3)CN)Cl,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
28,520080200,177665037,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)NC(=O)C3=CC=CC(=C3)CN)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
29,520081138,177665288,CC(C)CNC(=O)C1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3Cl)F)Cl,Active,,,,0.193,EC50,=,193,,nM,
30,520081138,177665288,CC(C)CNC(=O)C1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3Cl)F)Cl,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
31,520081201,177665350,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)CN,Active,,,,0.023,EC50,<,23,,nM,Falls Outside The Dose Series
32,520081201,177665350,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)CN,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
33,520081218,177665366,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)O)Cl,Active,,,,0.023,EC50,<,23,,nM,Falls Outside The Dose Series
34,520081218,177665366,C1=CC=C(C(=C1)OC2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)O)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
35,520082135,177665621,C1CN(CCC1C2=CC=CC3=C2C=CN=C3)CC4=CNC5=CC=CC=C54,Active,,,,0.336,EC50,=,336,,nM,
36,520082135,177665621,C1CN(CCC1C2=CC=CC3=C2C=CN=C3)CC4=CNC5=CC=CC=C54,Unspecified,,,,13.62,EC90,=,13.62,,uM,
37,520082140,177665626,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)CN)C3=CC=C(C=C3)Cl,Active,,,,0.04,EC50,=,40,,nM,
38,520082140,177665626,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)CN)C3=CC=C(C=C3)Cl,Active,,,,1.139,EC90,=,1.139,,uM,
39,520082197,177665678,C1CC[C@H]2[C@@H](CC1)[C@H]([C@H]2C(=O)NC3=CC=CC(=C3)CCN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1.852,EC50,>,1852,,nM,Falls Outside The Dose Series
40,520082197,177665678,C1CC[C@H]2[C@@H](CC1)[C@H]([C@H]2C(=O)NC3=CC=CC(=C3)CCN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
