PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,381842963,137635647,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CC4=CC=C(C=C4)C5=CC=CC=C5)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N,Active,,,,3.8,IC50,=,3800,nM,
7,381846570,137638079,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC2=CC=CC=C2)CC3=CC=CC4=CC=CC=C43)CCC5=CC=CC=C5,Active,,,,1.7,IC50,=,1700,nM,
8,381847125,137638451,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CC4=CC5=CC=CC=C5C=C4)CO)CCCCN)CCCN=C(N)N)CCCCN,Active,,,,2.6,IC50,=,2600,nM,
9,381852613,137642152,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](CN1)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC2=CC=CC=C2)CC3=CC=CC4=CC=CC=C43)CCC5=CC=CC=C5,Active,,,,2.1,IC50,=,2100,nM,
10,381855328,137643991,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CS)CC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,39.3,IC50,=,39300,nM,
11,381855949,137644413,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC2=CC=CC=C2)CO)CCC3=CC=CC=C3)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,28.5,IC50,=,28500,nM,
12,381856696,137644925,C1=CC=C(C=C1)C[C@@H]2C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CO)CC3=CC=C(C=C3)C4=CC=CC=C4)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N,Active,,,,3.7,IC50,=,3700,nM,
13,381857207,137645263,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC3=CC=CC=C3)CC4=CC=CC5=CC=CC=C54,Active,,,,1.6,IC50,=,1600,nM,
14,381858797,66556652,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1)CS)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,114.2,IC50,=,114200,nM,Outside typical range
15,381860367,137647419,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2)CC3=CC=CC=C3)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC4=CC5=CC=CC=C5C=C4)CC6=CC=CC=C6,Active,,,,1.7,IC50,=,1700,nM,
16,381860971,137647828,C1C[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CCC4=CC=CC=C4)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,52,IC50,=,52000,nM,
17,381861974,137648498,C[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN=C(N)N)CCCCN)C)CS)CO,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
18,381863665,137649635,C[C@H]1C(=O)N[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN)CC3=CC=CC=C3,Active,,,,7.6,IC50,=,7600,nM,
19,381864078,137649918,C[C@H]1C(=O)N[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN)C3=CC=CC=C3,Unspecified,,,,15.1,IC50,=,15100,nM,
20,381865320,137650768,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N1)CS)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,38.7,IC50,=,38700,nM,
21,381867902,137652498,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N1)C)CS)CO)CCCCN)CCCN=C(N)N,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
22,381869334,137653453,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC3=CC=CC=C3)CC4=CC5=CC=CC=C5C=C4,Active,,,,1.5,IC50,=,1500,nM,
23,381870446,137654227,C[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N1)CO)CCCCN)CCCN=C(N)N)CCCCN)C,Unspecified,,,,57.4,IC50,=,57400,nM,
24,381870684,137654384,C[C@H]1C(=O)N[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN)CCC3=CC=CC=C3,Unspecified,,,,16.2,IC50,=,16200,nM,
25,381870900,137654522,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN,Unspecified,,,,18.4,IC50,=,18400,nM,
26,381877900,137656673,C[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN)CC3=CC=CC=C3,Unspecified,,,,19.8,IC50,=,19800,nM,
27,381878866,137657110,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CCC4=CC=CC=C4)CO)CCCCN)CCCN=C(N)N)CCCCN,Active,,,,0.95,IC50,=,950,nM,
28,381880395,137657729,C[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N1)CCCCN)C)CS)CO)CCCCN,Unspecified,,,,200,IC50,>,200000,nM,Outside typical range
29,381883100,137659074,C1=CC=C(C=C1)CC[C@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2)CC3=CC4=CC=CC=C4C=C3)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CC5=CC6=CC=CC=C6C=C5)CC7=CC=CC=C7,Active,,,,1.1,IC50,=,1100,nM,
30,381883613,137659417,C1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N2C1)CC3=CC=CC=C3)CO)CC4=CC=C(C=C4)C5=CC=CC=C5)CO)CCCCN)CCCN=C(N)N)CCCCN,Active,,,,3.8,IC50,=,3800,nM,
31,381883938,137659642,C[C@H]1C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CS)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN,Active,,,,9.2,IC50,=,9200,nM,
32,381884337,137659920,C[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCC2=CC=CC=C2)CO)CCCCN)CCCN=C(N)N)CCCCN)CCC3=CC=CC=C3,Unspecified,,,,25.6,IC50,=,25600,nM,
33,381885497,137660699,C1=CC=C(C=C1)C2=CC=C(C=C2)C[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N3)CO)CCCCN)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CCCN=C(N)N)CO,Active,,,,2.3,IC50,=,2300,nM,
