PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
232,520078153,177664333,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
233,520078186,177664365,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NC3CCOCC3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
234,520078186,177664365,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NC3CCOCC3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
235,520078189,177664368,CN1C=C(C=N1)CNC(=O)[C@@H](C2=CC(=CC(=C2)C3CC3)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
236,520078189,177664368,CN1C=C(C=N1)CNC(=O)[C@@H](C2=CC(=CC(=C2)C3CC3)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
237,520078192,177664371,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,3.333,EC50,>,3333,,nM,Falls Outside The Dose Series
238,520078192,177664371,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,3.333,EC90,>,3.333,,uM,Falls Outside The Dose Series
239,520078192,177664371,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
240,520078192,177664371,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
241,520078196,177664375,CCC1=CC(=CC(=C1)Cl)C(=O)NC2=CC3=C(CNC3)C=C2,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
242,520078196,177664375,CCC1=CC(=CC(=C1)Cl)C(=O)NC2=CC3=C(CNC3)C=C2,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
243,520078198,177664377,CC1=NC2=C(C=C(C=C2C=C1)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
244,520078198,177664377,CC1=NC2=C(C=C(C=C2C=C1)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
245,520078201,177664380,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)[C@H]4CCOC4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
246,520078201,177664380,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)[C@H]4CCOC4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
247,520078285,177664460,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,38.071,EC50,=,38071,,nM,
248,520078285,177664460,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC=C3)N4C(=O)NN=N4)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
249,520079063,177664626,CCOC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
250,520079063,177664626,CCOC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
251,520079130,177664686,C1CC[C@H]2[C@@H](CC1)[C@H]([C@H]2C(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
252,520079130,177664686,C1CC[C@H]2[C@@H](CC1)[C@H]([C@H]2C(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
253,520080156,177664993,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=C(C=CC(=C3)C4=NNN=N4)F)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
254,520080156,177664993,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=C(C=CC(=C3)C4=NNN=N4)F)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
255,520080169,177665006,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)Br)NC(=N4)C5=CC=CC=C5,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
256,520080169,177665006,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)Br)NC(=N4)C5=CC=CC=C5,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
257,520080170,177665007,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C#N)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
258,520080170,177665007,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C#N)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
259,520080176,177665013,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=CNC4=CC(=C3)C(F)(F)F,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
260,520080176,177665013,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=CNC4=CC(=C3)C(F)(F)F,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
261,520080177,177665014,CN1C=C(C=N1)CCC2=NC3=C(C=C(C=C3N2)Cl)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
262,520080177,177665014,CN1C=C(C=N1)CCC2=NC3=C(C=C(C=C3N2)Cl)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
263,520080178,177665015,CNC(=O)[C@@H](C1=C2C=NNC2=CC(=C1)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
264,520080178,177665015,CNC(=O)[C@@H](C1=C2C=NNC2=CC(=C1)Cl)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
265,520080180,177665017,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)Br)NC(=N4)CC5=CC=CC=C5,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
266,520080180,177665017,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)Br)NC(=N4)CC5=CC=CC=C5,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
267,520080185,177665022,C1C2=C(CN1)C=C(C=C2)N[C@H](C3=C4C=NNC4=CC(=C3)Cl)C(=O)NCC5=CC=C(C=C5)F,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
268,520080185,177665022,C1C2=C(CN1)C=C(C=C2)N[C@H](C3=C4C=NNC4=CC(=C3)Cl)C(=O)NCC5=CC=C(C=C5)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
269,520080186,177665023,C1[C@@H](CC2=C1C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl)N,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
270,520080186,177665023,C1[C@@H](CC2=C1C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl)N,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
271,520080198,177665035,CC1=CC(=CS1)C2=CC=C(C=C2)[C@H](C(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
272,520080198,177665035,CC1=CC(=CS1)C2=CC=C(C=C2)[C@H](C(=O)NC3=CC=CC(=C3)CN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
273,520080200,177665037,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)NC(=O)C3=CC=CC(=C3)CN)Cl,Active,,,,3.168,EC50,=,3168,,nM,
274,520080200,177665037,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)NC(=O)C3=CC=CC(=C3)CN)Cl,Active,,,,5.415,EC90,=,5.415,,uM,
275,520080200,177665037,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)NC(=O)C3=CC=CC(=C3)CN)Cl,Unspecified,,,,,EC50,,,Could not be calculated,,
276,520080200,177665037,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)NC(=O)C3=CC=CC(=C3)CN)Cl,Unspecified,,,,,EC90,,,Could not be calculated,,
277,520081065,177665218,C1[C@H]([C@@H]1C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)CN,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
278,520081065,177665218,C1[C@H]([C@@H]1C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)CN,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
279,520081085,177665238,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC=C3)OCC(=O)O)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
280,520081085,177665238,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC=C3)OCC(=O)O)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
281,520081138,177665288,CC(C)CNC(=O)C1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3Cl)F)Cl,Active,,,,0.063,EC50,=,63,,nM,
282,520081138,177665288,CC(C)CNC(=O)C1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3Cl)F)Cl,Active,,,,1.886,EC90,=,1.886,,uM,
283,520081138,177665288,CC(C)CNC(=O)C1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3Cl)F)Cl,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
284,520081138,177665288,CC(C)CNC(=O)C1=CC(=C(C=C1NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3Cl)F)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
285,520081165,177665315,C1CC2=C(CNC1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,26.001,EC50,=,26001,,nM,
286,520081165,177665315,C1CC2=C(CNC1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,44.98,EC90,=,44.98,,uM,
287,520081166,177665316,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NCC3=CC=C(C=C3)C4=NNN=N4)Cl,Unspecified,,,,24.8,EC50,=,24800,,nM,
288,520081166,177665316,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NCC3=CC=C(C=C3)C4=NNN=N4)Cl,Unspecified,,,,40.86,EC90,=,40.86,,uM,
289,520081172,177665322,CC(C)(C)NC(=O)[C@@H](C1=CC(=CC(=C1)Cl)NC(=O)OCC2=CC=CC=C2)NC3=CC=CC(=C3)C4=NNN=N4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
290,520081172,177665322,CC(C)(C)NC(=O)[C@@H](C1=CC(=CC(=C1)Cl)NC(=O)OCC2=CC=CC=C2)NC3=CC=CC(=C3)C4=NNN=N4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
291,520081201,177665350,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)CN,Active,,,,0.532,EC50,=,532,,nM,
292,520081201,177665350,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)CN,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
293,520082032,177665521,C1=CN(C=C1)C2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,13.896,EC50,=,13896,,nM,
294,520082032,177665521,C1=CN(C=C1)C2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
295,520082043,177665532,C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)CN)Cl)CN,Unspecified,,,,10,EC50,>,10000,,nM,Falls Outside The Dose Series
296,520082043,177665532,C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)CN)Cl)CN,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
297,520082043,177665532,C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)CN)Cl)CN,Unspecified,,,,48.166,EC50,=,48166,,nM,
298,520082043,177665532,C1=CC(=CC(=C1)NC(=O)C2=CC(=CC(=C2)CN)Cl)CN,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
299,520082069,177665558,C1CN(CCC1C2=NC(=CS2)C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,Unspecified,,,,3.333,EC50,>,3333,,nM,Falls Outside The Dose Series
300,520082069,177665558,C1CN(CCC1C2=NC(=CS2)C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,Unspecified,,,,3.333,EC90,>,3.333,,uM,Falls Outside The Dose Series
301,520082069,177665558,C1CN(CCC1C2=NC(=CS2)C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,Unspecified,,,,1.852,EC50,>,1852,,nM,Falls Outside The Dose Series
302,520082069,177665558,C1CN(CCC1C2=NC(=CS2)C3=CC=CC=C3)CC4=CNC5=CC=CC=C54,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
303,520082091,177665580,CCOC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)O,Unspecified,,,,3.333,EC50,>,3333,,nM,Falls Outside The Dose Series
304,520082091,177665580,CCOC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)O,Unspecified,,,,3.333,EC90,>,3.333,,uM,Falls Outside The Dose Series
305,520082091,177665580,CCOC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)O,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
306,520082091,177665580,CCOC1=CC=CC(=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)O,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
307,520082129,172991027,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,10,EC50,>,10000,,nM,Falls Outside The Dose Series
308,520082129,172991027,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
309,520082129,172991027,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
310,520082129,172991027,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
311,520082129,172991027,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,1.852,EC50,>,1852,,nM,Falls Outside The Dose Series
312,520082129,172991027,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=CC(=C3)CN)Cl,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
313,520082135,177665621,C1CN(CCC1C2=CC=CC3=C2C=CN=C3)CC4=CNC5=CC=CC=C54,Active,,,,0.047,EC50,=,47,,nM,
314,520082135,177665621,C1CN(CCC1C2=CC=CC3=C2C=CN=C3)CC4=CNC5=CC=CC=C54,Active,,,,1.582,EC90,=,1.582,,uM,
315,520082135,177665621,C1CN(CCC1C2=CC=CC3=C2C=CN=C3)CC4=CNC5=CC=CC=C54,Active,,,,0.023,EC50,<,23,,nM,Falls Outside The Dose Series
316,520082135,177665621,C1CN(CCC1C2=CC=CC3=C2C=CN=C3)CC4=CNC5=CC=CC=C54,Unspecified,,,,16.05,EC90,=,16.05,,uM,
317,520082140,177665626,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)CN)C3=CC=C(C=C3)Cl,Active,,,,1.483,EC50,=,1483,,nM,
318,520082140,177665626,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)CN)C3=CC=C(C=C3)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
319,520082149,177665635,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)[C@H]3[C@H]4CCCCC[C@H]4[C@H]3NC(=O)OCC5=CC=CC=C5,Unspecified,,,,16.068,EC50,=,16068,,nM,
320,520082149,177665635,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)[C@H]3[C@H]4CCCCC[C@H]4[C@H]3NC(=O)OCC5=CC=CC=C5,Unspecified,,,,44.77,EC90,=,44.77,,uM,
321,520082162,177665646,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C#N)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
322,520082162,177665646,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C#N)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
323,520082164,177665647,CN1C=C2C=C(C=C(C2=N1)C(=O)NC3=CC4=C(CNC4)C=C3)Cl,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
324,520082164,177665647,CN1C=C2C=C(C=C(C2=N1)C(=O)NC3=CC4=C(CNC4)C=C3)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
325,520082173,172991041,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC4=NNN=C34)F,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
326,520082173,172991041,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC4=NNN=C34)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
327,520082173,172991041,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC4=NNN=C34)F,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
328,520082173,172991041,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC4=NNN=C34)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
329,520082178,177665659,C1CNCC2=C1N=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
330,520082178,177665659,C1CNCC2=C1N=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
331,520082197,177665678,C1CC[C@H]2[C@@H](CC1)[C@H]([C@H]2C(=O)NC3=CC=CC(=C3)CCN)NC(=O)OCC4=CC=CC=C4,Active,,,,0.852,EC50,=,852,,nM,
332,520082197,177665678,C1CC[C@H]2[C@@H](CC1)[C@H]([C@H]2C(=O)NC3=CC=CC(=C3)CCN)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
333,520082201,177665682,CC1=C(C=C(C=C1)C2=NNN=N2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,40.505,EC50,=,40505,,nM,
334,520082201,177665682,CC1=C(C=C(C=C1)C2=NNN=N2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,46.33,EC90,=,46.33,,uM,
335,520082221,177665700,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)C4CC4)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
336,520082221,177665700,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)C4CC4)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
