PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,461523044,162649020,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=CS4,Unspecified,,,,14,EC50,=,14000,nM,
7,461524997,162650386,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CC=NC=C4,Unspecified,,,,17,EC50,=,17000,nM,
8,461525180,162650514,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CN=CC=C4,Unspecified,,,,23,EC50,=,23000,nM,
9,461527893,162652386,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=C(C=C3)C4=CSC=C4,Unspecified,,,,14,EC50,=,14000,nM,
10,461528221,162652622,C1=CC=C(C(=C1)C(=O)NCC2=CC=C(C=C2)C3=CSC=C3)C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,16,EC50,=,16000,nM,
11,461528593,162652877,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=CS4,Active,,,,4.6,EC50,=,4600,nM,
12,461528804,162653023,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=CC=C3C4=NNC(=C4)C,Unspecified,,,,14.1,EC50,=,14100,nM,
13,461529664,162653656,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=NNC(=C4)C,Unspecified,,,,29,EC50,=,29000,nM,
14,461531137,162654667,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=CS4,Active,,,,0.5,EC50,=,500,nM,
15,461531623,162655014,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CC=C(S4)C,Active,,,,2,EC50,=,2000,nM,
16,461533698,162656456,C1=CC=C(C(=C1)CNC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Active,,,,3,EC50,=,3000,nM,
17,461539331,162660468,CC1=CC(=NN1)C2=CC=CC=C2NC(=O)C3=CC=CC=C3C(=O)NC4=CC=C(C=C4)F,Unspecified,,,,120,EC50,>,120000,nM,Outside typical range
18,461540730,162661415,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=CC=C3C4=NNC(=C4)C,Active,,,,3.4,EC50,=,3400,nM,
19,461541238,162661765,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Active,,,,2.1,EC50,=,2100,nM,
20,461541564,162662006,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CC=C(S4)C,Active,,,,3.2,EC50,=,3200,nM,
21,461545482,162664769,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Active,,,,0.9,EC50,<,900,nM,
22,461545709,162664923,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=C(S4)C,Active,,,,2.9,EC50,=,2900,nM,
23,461546306,162665332,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NCC3=CC=CC=C3C4=CSC=C4,Active,,,,3,EC50,=,3000,nM,
24,461548993,162667182,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=C(C=C(C=C3)C)C4=NNC(=C4)C,Active,,,,0.5,EC50,=,500,nM,
25,461549675,162667663,C1=CC(=CC=C1CNC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,116,EC50,>,116000,nM,Outside typical range
26,461549904,162667823,CC1=CC=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NCC3=CC=CC=C3C4=CSC=C4,Unspecified,,,,48,EC50,>,48000,nM,
27,461550133,162667975,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CC=C(C=C3)F)C4=CSC=C4,Unspecified,,,,116,EC50,>,116000,nM,Outside typical range
28,461551311,162668809,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NCC3=CC=C(C=C3)C4=CSC=C4,Unspecified,,,,13.8,EC50,=,13800,nM,
29,461554641,162671146,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=C(C=C(C=C3)C)C4=CSC=C4,Active,,,,0.7,EC50,=,700,nM,
30,461554671,162671164,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Unspecified,,,,26.5,EC50,=,26500,nM,
31,461556965,162672831,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=CSC=C4,Active,,,,3,EC50,=,3000,nM,
32,461561300,162675877,CC1=CC(=C(C=C1)NC(=O)C2=CC=CC=C2C(=O)NC3=CC=C(C=C3)F)C4=NNC(=C4)C,Active,,,,0.5,EC50,=,500,nM,
33,461561667,162676151,CC1=CC(=C(C=C1)NC(=O)C2=NC=CN=C2C(=O)NC3=CC=C(C=C3)F)C4=CC=C(S4)C,Unspecified,,,,112,EC50,>,112000,nM,Outside typical range
