PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment,Data Validity Comment
18,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,6.128,EC90,=,6.128,,uM,,
19,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,2.646,EC50,=,2646,,nM,,
20,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,7.323,EC90,=,7.323,,uM,,
21,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.455,EC50,=,3455,,nM,,
22,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,9.316,EC90,=,9.316,,uM,,
23,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.425,EC50,=,3425,,nM,,
24,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,8.908,EC90,=,8.908,,uM,,
25,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,2.956,EC50,=,2956,,nM,,
26,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,9.09,EC90,=,9.09,,uM,,
27,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.663,EC50,=,1663,,nM,,
28,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,6.21,EC90,=,6.21,,uM,,
29,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.874,EC50,=,1874,,nM,,
30,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,8.934,EC90,=,8.934,,uM,,
31,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.478,EC50,=,3478,,nM,,
32,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,6.214,EC90,=,6.214,,uM,,
33,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.957,EC50,=,1957,,nM,,
34,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,6.016,EC90,=,6.016,,uM,,
35,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.268,EC50,=,1268,,nM,,
36,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.623,EC90,=,3.623,,uM,,
37,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.567,EC50,=,1567,,nM,,
38,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,5.338,EC90,=,5.338,,uM,,
39,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.863,EC50,=,863,,nM,,
40,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,4.173,EC90,=,4.173,,uM,,
41,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.824,EC50,=,824,,nM,,
42,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.927,EC90,=,3.927,,uM,,
43,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.148,EC50,=,1148,,nM,,
44,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.463,EC90,=,3.463,,uM,,
45,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.584,EC50,=,584,,nM,,
46,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.047,EC90,=,3.047,,uM,,
47,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,2.03,EC50,=,2030,,nM,,
48,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,3.332,EC90,=,3.332,,uM,,
49,504819914,146279852,CC1(CC2=C(CN1CC3CCCCC3)C(=C(S2)NC(=O)CC4=CC=C(C=C4)S(=O)(=O)N)C#N)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
50,504819914,146279852,CC1(CC2=C(CN1CC3CCCCC3)C(=C(S2)NC(=O)CC4=CC=C(C=C4)S(=O)(=O)N)C#N)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
51,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
52,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
53,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
54,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
55,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
56,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
57,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
58,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
59,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
60,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
61,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
62,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
63,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC50,<,391,,nM,Falls Outside The Dose Series,
64,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
65,520054181,177658013,CC(C)NC(=O)[C@@H](C1=C2C(=CC(=C1)Cl)NC(=N2)C3=CC=CC=C3)NC4=CC5=C(CNC5)C=C4,Active,,,,5.047,EC50,=,5047,,nM,,
66,520054181,177658013,CC(C)NC(=O)[C@@H](C1=C2C(=CC(=C1)Cl)NC(=N2)C3=CC=CC=C3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,12.5,EC90,>,12.5,,uM,Falls Outside The Dose Series,
67,520054181,177658013,CC(C)NC(=O)[C@@H](C1=C2C(=CC(=C1)Cl)NC(=N2)C3=CC=CC=C3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
68,520054181,177658013,CC(C)NC(=O)[C@@H](C1=C2C(=CC(=C1)Cl)NC(=N2)C3=CC=CC=C3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
69,520054181,177658013,CC(C)NC(=O)[C@@H](C1=C2C(=CC(=C1)Cl)NC(=N2)C3=CC=CC=C3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
70,520054181,177658013,CC(C)NC(=O)[C@@H](C1=C2C(=CC(=C1)Cl)NC(=N2)C3=CC=CC=C3)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
71,520069258,177661582,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C4=CNN=C4)F,Active,,,,1.111,EC50,=,1111,,nM,,
72,520069258,177661582,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C4=CNN=C4)F,Unspecified,,,,12.81,EC90,=,12.81,,uM,,
73,520069287,177661611,C1CC1CNC(=O)C2=C(C=CC(=C2)Cl)NS(=O)(=O)C3=CC=C(C=C3)OC4=CC=CC=C4Cl,Active,,,,6.05,EC50,=,6050,,nM,,
74,520069287,177661611,C1CC1CNC(=O)C2=C(C=CC(=C2)Cl)NS(=O)(=O)C3=CC=C(C=C3)OC4=CC=CC=C4Cl,Active,,,,6.565,EC90,=,6.565,,uM,,
75,520069300,177661624,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)CCCCN)Cl,Active,,,,4.181,EC50,=,4181,,nM,,
76,520069300,177661624,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)CCCCN)Cl,Active,,,,5.964,EC90,=,5.964,,uM,,
77,520069306,177661630,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)Cl)C=CN4,Active,,,,2.205,EC50,=,2205,,nM,,
78,520069306,177661630,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)Cl)C=CN4,Unspecified,,,,3.125,EC90,>,3.125,,uM,Falls Outside The Dose Series,
79,520069317,177661641,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C4=CNC(=O)C(=C4)F)F,Unspecified,,,,25,EC50,>,25000,,nM,Falls Outside The Dose Series,
80,520069317,177661641,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C4=CNC(=O)C(=C4)F)F,Unspecified,,,,25,EC90,>,25,,uM,Falls Outside The Dose Series,
81,520069318,177661642,COC(=O)C1=CC(=CC(=C1)C2=NNN=N2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,43.088,EC50,=,43088,,nM,,
82,520069318,177661642,COC(=O)C1=CC(=CC(=C1)C2=NNN=N2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,49.41,EC90,=,49.41,,uM,,
83,520069320,177661644,C1C2=C(CN1)C(=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F)CC#N,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
84,520069320,177661644,C1C2=C(CN1)C(=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F)CC#N,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
85,520069335,177661659,CC1=C(CCC1=O)C2=CC(=CC3=C2CNC3)NC(=O)C4=C5C=NNC5=CC(=C4)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
86,520069335,177661659,CC1=C(CCC1=O)C2=CC(=CC3=C2CNC3)NC(=O)C4=C5C=NNC5=CC(=C4)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
87,520069337,172991058,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC=C3)NC(=O)N4,Unspecified,,,,12.5,EC50,>,12500,,nM,Falls Outside The Dose Series,
88,520069337,172991058,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC=C3)NC(=O)N4,Unspecified,,,,12.5,EC90,>,12.5,,uM,Falls Outside The Dose Series,
89,520069354,177661676,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C3=CN(N=C3)CC4=CC=C(C=C4)C(=O)O)Cl,Unspecified,,,,25.033,EC50,=,25033,,nM,,
90,520069354,177661676,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C3=CN(N=C3)CC4=CC=C(C=C4)C(=O)O)Cl,Unspecified,,,,27.77,EC90,=,27.77,,uM,,
91,520069366,172991040,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
92,520069366,172991040,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
93,520069378,177661698,C=CC[C@@H](C1=CC=CC(=C1)CN)NC2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3,Active,,,,0.546,EC50,=,546,,nM,,
94,520069378,177661698,C=CC[C@@H](C1=CC=CC(=C1)CN)NC2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3,Active,,,,2.063,EC90,=,2.063,,uM,,
95,520069977,177661799,C=C1C[C@@H]([C@H](C1)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)C5=NNN=N5,Unspecified,,,,6.25,EC50,>,6250,,nM,Falls Outside The Dose Series,
96,520069977,177661799,C=C1C[C@@H]([C@H](C1)C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)C5=NNN=N5,Unspecified,,,,6.25,EC90,>,6.25,,uM,Falls Outside The Dose Series,
97,520069984,177661806,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NC=CC4=CC(=C3)Cl,Unspecified,,,,41.202,EC50,=,41202,,nM,,
98,520069984,177661806,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NC=CC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
99,520070600,177661964,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)F)NC(=N4)C5=CC=C(C=C5)C#N,Unspecified,,,,6.25,EC50,>,6250,,nM,Falls Outside The Dose Series,
100,520070600,177661964,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)F)NC(=N4)C5=CC=C(C=C5)C#N,Unspecified,,,,6.25,EC90,>,6.25,,uM,Falls Outside The Dose Series,
101,520070600,177661964,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)F)NC(=N4)C5=CC=C(C=C5)C#N,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
102,520070600,177661964,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C(=CC(=C3)F)NC(=N4)C5=CC=C(C=C5)C#N,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
103,520070601,177661965,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Active,,,,0.83,EC50,=,830,,nM,,
104,520070601,177661965,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Active,,,,0.391,EC90,<,0.391,,uM,Falls Outside The Dose Series,
105,520070601,177661965,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Unspecified,,,,6.25,EC50,>,6250,,nM,Falls Outside The Dose Series,
106,520070601,177661965,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Unspecified,,,,6.25,EC90,>,6.25,,uM,Falls Outside The Dose Series,
107,520070614,177661978,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NCC(F)F)NC3=C(C=C4CNCC4=C3)Br,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
108,520070614,177661978,C1CC1C2=CC(=CC(=C2)Cl)[C@H](C(=O)NCC(F)F)NC3=C(C=C4CNCC4=C3)Br,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
109,520070620,177661983,COC1=CC=CC=C1C2=NC3=C(C=C(C=C3N2)F)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,12.5,EC50,>,12500,,nM,Falls Outside The Dose Series,
110,520070620,177661983,COC1=CC=CC=C1C2=NC3=C(C=C(C=C3N2)F)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,12.5,EC90,>,12.5,,uM,Falls Outside The Dose Series,
111,520070655,177662016,CCNC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC3=C(C=C2)OCCNC3)Cl,Unspecified,,,,25,EC50,>,25000,,nM,Falls Outside The Dose Series,
112,520070655,177662016,CCNC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC3=C(C=C2)OCCNC3)Cl,Unspecified,,,,25,EC90,>,25,,uM,Falls Outside The Dose Series,
113,520070662,177662023,C=CC1=C(C=C2CNCC2=C1)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,6.25,EC50,>,6250,,nM,Falls Outside The Dose Series,
114,520070662,177662023,C=CC1=C(C=C2CNCC2=C1)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,6.25,EC90,>,6.25,,uM,Falls Outside The Dose Series,
115,520070667,177662028,C1CNCC=C1C2=CSC3=C2C=CC(=C3)C(=O)NC4=CC5=C(CNC5)C=C4,Active,,,,1.333,EC50,=,1333,,nM,,
116,520070667,177662028,C1CNCC=C1C2=CSC3=C2C=CC(=C3)C(=O)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,6.25,EC90,>,6.25,,uM,Falls Outside The Dose Series,
117,520070686,177662046,COC(=O)C1=CC(=CC2=C1NC=C2CC3=CC=C(C=C3)C4=NNN=N4)Br,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
118,520070686,177662046,COC(=O)C1=CC(=CC2=C1NC=C2CC3=CC=C(C=C3)C4=NNN=N4)Br,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
119,520070693,177662053,C1CNCCC2=C1C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,25,EC50,>,25000,,nM,Falls Outside The Dose Series,
120,520070693,177662053,C1CNCCC2=C1C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,25,EC90,>,25,,uM,Falls Outside The Dose Series,
121,520070700,177662060,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC(=C3)/C=C/C(=O)O)CN)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
122,520070700,177662060,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC(=C3)/C=C/C(=O)O)CN)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
123,520070703,177662063,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C#N)C(F)(F)F,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
124,520070703,177662063,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C#N)C(F)(F)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
125,520070713,177662073,C1CCN2C(=NC3=C(C=C(C=C32)Br)C(=O)NC4=CC5=C(CNC5)C=C4)C1,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series,
126,520070713,177662073,C1CCN2C(=NC3=C(C=C(C=C32)Br)C(=O)NC4=CC5=C(CNC5)C=C4)C1,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series,
127,520070718,177662078,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)CCC3=CC(=CC=C3)CN)Cl,Active,,,,7.131,EC50,=,7131,,nM,,
128,520070718,177662078,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)CCC3=CC(=CC=C3)CN)Cl,Unspecified,,,,10.04,EC90,=,10.04,,uM,,
