PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Activity Comment,Data Validity Comment
37,440146878,155534845,CN1C=C(C2=C1N=CC(=C2)C3=CC(=C(C=C3)OC)OC)NC(=O)C4=CN=CC=C4,Inactive,,,Potential missing data,,EC50,,,,Not Active,
38,440146878,155534845,CN1C=C(C2=C1N=CC(=C2)C3=CC(=C(C=C3)OC)OC)NC(=O)C4=CN=CC=C4,Inactive,,,Potential missing data,,EC90,,,,Not Active,
39,440149931,155536780,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C(=O)C4=CC=CC=C4)N=C2)OC,Active,,,,1.07,EC50,=,1070,nM,,
40,440149931,155536780,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3C(=O)C4=CC=CC=C4)N=C2)OC,Active,,,,3.73,EC90,=,3.73,uM,,
41,440151563,155537883,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4CCCC4)N=C2)OC,Active,,,,3.42,EC50,=,3420,nM,,
42,440151563,155537883,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4CCCC4)N=C2)OC,Active,,,,8.34,EC90,=,8.34,uM,,
43,440152493,155538489,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NS(=O)(=O)C4=CC=CC=C4)N=C2)OC,Active,,,,8.14,EC50,=,8140,nM,,
44,440152493,155538489,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NS(=O)(=O)C4=CC=CC=C4)N=C2)OC,Unspecified,,,,106,EC90,=,106,uM,,
45,440156050,155540035,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=NC=C4)N=C2)OC,Unspecified,,,,12.6,EC50,=,12600,nM,,
46,440156050,155540035,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CC=NC=C4)N=C2)OC,Unspecified,,,,26.8,EC90,=,26.8,uM,,
47,440157404,155540633,CC1=CC(=CC=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Active,,,,4.86,EC50,=,4860,nM,,
48,440157404,155540633,CC1=CC(=CC=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,,10.8,EC90,=,10.8,uM,,
49,440163921,155543338,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C(F)(F)F,Active,,,,2.94,EC50,=,2940,nM,,
50,440163921,155543338,C1=CC(=CN=C1)C(=O)NC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)C(F)(F)F,Unspecified,,,,12,EC90,=,12,uM,,
51,440168090,155544989,COC1=C(C=C(C=C1)C2=CC3=C(NN=C3N=C2)NC(=O)C4=CN=CC=C4)OC,Active,,,,2.09,EC50,=,2090,nM,,
52,440168090,155544989,COC1=C(C=C(C=C1)C2=CC3=C(NN=C3N=C2)NC(=O)C4=CN=CC=C4)OC,Unspecified,,,,19,EC90,=,19,uM,,
53,440184108,10156251,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2)OC,Active,,,,1.64,EC50,=,1640,nM,,
54,440184108,10156251,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2)OC,Active,,,,7.46,EC90,=,7.46,uM,,
55,440196007,155556093,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)CC4=CC=CC=C4)N=C2)OC,Inactive,,,Potential missing data,,EC90,,,,Not Active,
56,440196007,155556093,COC1=C(C=C(C=C1)C2=CC3=C(NC=C3NC(=O)CC4=CC=CC=C4)N=C2)OC,Unspecified,,,,142,EC50,=,142000,nM,,Outside typical range
57,440225571,9858007,C1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Active,,,,5.29,EC50,=,5290,nM,,
58,440225571,9858007,C1=CC=C(C=C1)C2=CC3=C(NC=C3NC(=O)C4=CN=CC=C4)N=C2,Unspecified,,,,87.1,EC90,=,87.1,uM,,
