PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Hill Slope,IC50 NormChi2,IC50 StdDev Modifier,IC50 StdDev,Max CPE Inhibition,Max CPE Inibition Conc,Min CPE Inhibition,Min CPE Inhibition Conc,CPE Inhibition @ 20 uM,CPE Inhibition @ 10 uM,CPE Inhibition @ 5 uM,CPE Inhibition @ 2.5 uM,CPE Inhibition @ 1.25 uM,CPE Inhibition @ 0.625 uM,CPE Inhibition @ 0.313 uM,CPE Inhibition @ 0.156 uM,CPE Inhibition @ 0.078 uM,CPE Inhibition @ 0.039 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,Maximum Inhibition achieved across all concentrations,Concentration (uM) at Maximum Inhibition,Minimum Inhibition achieved across all concentrations,Concentration (uM) at Minimum Inhibition,,,,,,,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,,NONE,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
156,17512588,917077,CC(C)CC1=CSC(=C1C(=O)O)NC(=O)C2=CC=C(C=C2)F,Active,66,,,,36.304,1.058,4.102,,9.193,31.26,20,-4.29,0.039,31.26,27.05,10.94,1.11,3,-0.27,-3.99,-3.14,-1.51,-4.29
157,17432920,763463,C1=COC(=C1)/C=C/C(=O)NC2=C(C=CC(=C2)Cl)C(=O)O,Active,66,,,,36.684,1.138,2.105,,4.81,34.02,20,-4.01,0.039,34.02,16.4,11.76,4.32,2.17,-0.65,1.73,-1.16,1.57,-4.01
158,17413468,1251190,CCOC(=O)C1=C(SC=C1C2=CC=C(O2)C)NC(=S)NC(=O)C3=CC=CC=C3Br,Active,66,,,,37.307,0.817,1.524,,3.753,36.39,20,-1.28,0.156,36.39,26.84,17.32,9.36,4.01,3.36,3.22,-1.28,0.27,2.05
159,17513003,6518764,CC(=O)/C(=N/NC1=CC(=CC=C1)Cl)/SC2=NN=C(N2C3=CC=CC=C3)C(C4=CC=CC=C4)O,Active,65,,,,37.736,1.249,2.821,,6.931,32.79,20,-1.41,0.313,32.79,11.15,11.14,4.72,1.1,1.69,-1.41,-0.23,4.13,-0.79
160,24806639,135443907,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC(=C(C(=O)N3)C#N)C4=CC=CC=C4,Active,65,,,,37.873,0.99,2.265,,5.595,34.16,20,-1.87,0.039,34.16,23.15,8.91,8.83,1.58,0.29,2.65,2.83,2.19,-1.87
161,24835261,2460890,CC(=O)NC1=CC=C(C=C1)C(=O)NC2=NC(=CS2)C3=CC=CC=N3,Active,65,,,,38.004,1.037,6.42,,15.933,34.72,10,-1.32,1.25,27.6,34.72,4.89,1.45,-1.32,0.73,-0.51,0.04,1.24,0.48
162,14746088,135420406,C1=CC=C(C=C1)N2C(=NN=N2)SCC3=CC(=O)NC(=N3)NC4=CC=C(C=C4)F,Active,65,,,,38.244,0.62,7.116,,19.679,35.2,5,-1.02,0.156,31.05,34.23,35.2,19.4,2.53,2.06,2.44,-1.02,0.37,0.38
163,24823170,16195417,CCC1=NN2C(=N)/C(=C\C3=CC=CN3C4=C(C=CC=C4C)C)/C(=O)N=C2S1,Active,65,,,,38.427,0.814,3.934,,10.256,35.04,20,-2.71,0.039,35.04,30.88,12.41,4.42,11.18,3.43,4.16,1.18,-0.55,-2.71
164,14745058,3283334,C1CCC(C(C1)C(=O)NC2=NC(=CS2)C3=CC=C(S3)Cl)C(=O)O,Active,65,,,,38.506,1.013,3.008,,7.69,36.38,20,-0.13,0.039,36.38,15.72,12.31,4.28,9.36,1.61,1.53,0.64,0.98,-0.13
165,4254650,1314468,CC1=C(C=C(C=C1)Cl)N2CCN(CC2)C(=O)CN(C3=C(C=CC(=C3)OC)OC)S(=O)(=O)C,Active,65,,,,38.904,1.206,1.716,,4.528,31.97,20,0.16,0.039,31.97,13.8,9.15,2.64,3.68,2.06,2.74,0.46,1.17,0.16
166,4244496,3239082,CC1=CC=C(C=C1)C2C=C(NC3=NC=NN23)C4=CC5=C(C=C4)OCO5,Active,65,,,,38.933,0.761,2.164,,5.853,39.82,20,1.24,0.039,39.82,24.15,16.22,8.97,6.79,7.82,4.73,3.22,1.62,1.24
167,17385882,2887258,CC1=CC=C(C=C1)C2=CSC(=C2C(=O)OC(C)C)NC(=O)C3CC=CCC3C(=O)O,Active,65,,,,39.369,0.853,4.782,,12.971,34.5,10,-2.05,0.039,30.79,34.5,11.04,5.76,3.85,0.75,4.05,1.16,-0.37,-2.05
168,17513126,3770639,CC1=CC2=NC(=C(C=C2C=C1)C3CC(=NN3S(=O)(=O)C4=CC=CC=C4)C5=CC=CO5)Cl,Active,64,,,,40.728,0.795,3.097,,9.047,34.49,20,-0.44,0.156,34.49,24.49,22.71,7.73,1.77,2.37,1.47,-0.44,1.52,1.21
169,17411291,1477184,C1=CC(=CC(=C1)Cl)C2=CC(=C(C(=O)N2)C#N)C(F)(F)F,Active,63,,,,42.937,1.071,3.32,,10.858,32.14,20,1.29,0.039,32.14,15.37,6.68,5.44,6.36,1.63,1.37,6.34,4.4,1.29
170,22402914,4004060,CCOC1=CC=C(C=C1)N2C3=CC=CC=C3N=C2SCC(=O)NC4=CC(=C(C=C4C)[N+](=O)[O-])OC,Active,63,,,,42.987,0.362,5.959,,24.883,36.71,5,-1.4,0.156,32.64,31.47,36.71,17.11,8.99,6.24,8.92,-1.4,3.71,-0.82
171,22410687,15945379,CC1=CC(=C(C=C1)C)S(=O)(=O)N2CCN(CC2)C(C)C(=O)NC3=CC=CC=C3C4=CC=CC=C4,Active,63,,,,44.121,0.713,3.405,,11.685,36.54,20,-1.46,0.039,36.54,21.48,24.66,9.92,8.05,1.28,2.13,2.73,-0.62,-1.46
172,4255312,2220861,CC1=CC2=C(C=C1)N=C(C=C2C(=O)NC3=NOC(=C3)C)C4=CC=CC=C4Cl,Active,62,,,,45.481,0.825,7.85,,29.488,36.82,10,-2.99,0.313,24.66,36.82,3.11,3.07,0.06,1.92,-2.99,-2.64,0.2,-0.42
173,14736250,875135,COC1=CC(=C(C=C1)C2=CC(=NN2)C3=CC(=C(C=C3)OC)OC)O,Active,62,,,,45.635,0.932,1.634,,5.981,30.64,20,0.02,0.078,30.64,22.35,9.84,4.81,3.2,2.06,1.61,1.77,0.02,2.59
174,24779843,2497032,C1=CSC(=C1)S(=O)(=O)NC2=CC=C(C=C2)C(=O)OCC(=O)NC3=NC4=C(S3)C=C(C(=C4F)F)F,Active,62,,,,46.221,0.89,2.933,,10.967,32.14,20,-3.22,0.078,32.14,21.04,10.08,9.7,2.21,3.08,0.28,0.73,-3.22,6.46
175,22407918,2118565,C1=CC=C(C=C1)C2=NN(C(=C2)C(=O)NC3=NC4=CC=CC=C4S3)C5=CC=CC=C5,Active,62,,,,47.41,0.838,1.563,,6.118,32.45,20,-1.41,0.313,32.45,20.44,15.52,8.05,4.19,1.15,-1.41,1.14,1.94,-0.37
176,17401357,3409264,C1C(OC2=CC=CC=C2O1)C(=O)NC3=NN=C(S3)SCC4=C(C=C(C=C4)Cl)Cl,Active,61,,,,49.042,0.993,2.391,,10.361,30.48,20,-0.55,0.039,30.48,14.6,9.1,6.08,1.82,2.19,6.27,2.06,0.02,-0.55
177,14735904,2197260,COC1=C(C=C(C=C1)C2=CC(=NC3=NC=NN23)C4=CC=C(C=C4)Br)OC,Active,59,,,,52.844,0.466,5.056,,25.525,34.44,20,-1.56,0.078,34.44,30.54,33,24.48,10.89,10.25,6.39,3.55,-1.56,8.73
178,4246228,3240606,CCOC(=O)C1=C2NC(=O)C3=C(N2C(=S)S1)C=C(C=C3)C(=O)OC,Active,59,,,,53.003,0.719,2.835,,13.584,31.12,20,-0.17,0.078,31.12,27.66,13.92,9.87,3.18,3.94,1.61,5.9,-0.17,3.05
179,14731409,9550113,CCCC1=NN2C(=N)/C(=C\C3=CC=C(O3)SCC4=CC=CO4)/C(=O)N=C2S1,Active,57,,,,59.428,0.688,2.901,,17.054,31.5,20,0.49,0.625,31.5,23.99,17.18,7.37,4.78,0.49,5.3,5.34,4.58,2.71
180,22404206,5911718,CCCCC1=NN2C(=C(C(=O)N=C2S1)/C=C/3\C=NC4=CC=CC=C43)N,Active,56,,,,61.655,0.619,3.436,,21.358,36.14,20,-0.7,0.156,36.14,23.59,11.14,11.68,12.65,6.85,5.8,-0.7,4.56,1.99
181,17507716,5345730,CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C\C(=O)C3=CC4=CC=CC=C4C=C3,Active,55,,,,62.866,0.716,2.141,,14.05,31.55,20,0.82,0.039,31.55,20.89,13.47,4.88,8.05,5.71,2.5,2.53,3.33,0.82
182,22416690,5396647,CCCC1=NN2C(=C(C(=O)N=C2S1)/C=C/3\C=NC4=CC=CC=C43)N,Active,55,,,,64.579,0.702,2.39,,16.417,30.67,20,-0.44,0.156,30.67,22.9,10.85,9.78,5.02,3.94,7.24,-0.44,0.85,2.19
183,22403528,4967486,CC1=C(N=C(S1)NC(=O)C2=CC(=C(C=C2)OCC(=O)N3CCOCC3)OC)C4=CC=C(C=C4)OC,Active,47,,,,83.486,0.583,5.307,,54.948,33.91,10,0.9,0.078,22.99,33.91,17.13,10.48,3.73,1.58,3.69,3.43,0.9,3.49
184,847929,54685847,CC(C)CN1C2=C(CCCC2)C(=C(C1=O)C(=O)NC3=NC=CS3)O,Active,43,,,,94.429,0.481,6.804,,83.786,32.31,5,-0.2,0.313,23.81,29.58,32.31,15.27,8.62,1.82,-0.2,2.89,2.55,7.94
185,22401751,135451196,C1=CC=C(C=C1)CN2C(=C(C(=O)NC2=O)/C=N/NC(=O)C3=CC=CC=C3O)O,Active,42,,,,97.397,0.344,3.406,,43.531,35.87,20,-1.32,0.078,35.87,19.11,19.09,17.16,12.79,8.3,7.36,0.31,-1.32,-1.04
186,24823871,5291804,C1=CC=C2C(=C1)N=C(S2)/C(=C/C3=CC(=C(C=C3)O)[N+](=O)[O-])/C#N,Active,41,,,>,100,0.394,2.141,,47.892,33.31,20,1.8,0.039,33.31,26.27,20.03,13.36,14.43,10.35,8.4,9.02,7.74,1.8
187,4252427,3245980,CC(CCC1=CC=CC=C1)NC(=O)C2=CC3=C(N2C)C=CS3,Active,41,,,>,100,0.452,3.716,,62.019,36.48,20,3.39,0.039,36.48,16.75,19.6,15.58,14.65,7.13,8.1,4.31,3.44,3.39
188,17409018,4778204,CN1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)Cl,Active,41,,,>,100,0.483,4.496,,64.776,34.11,10,2.81,0.039,24.16,34.11,20.03,13.28,7.26,8.25,3.67,3.02,3.21,2.81
189,22401308,135420789,C1=CC=C(C(=C1)C(=O)N/N=C/C2=C(N(C(=O)NC2=O)CC3=CC=C(C=C3)F)O)O,Active,41,,,>,100,0.371,2.899,,52.186,30.47,10,-0.87,0.039,29.48,30.47,19.26,13.28,9.39,9.92,7.93,6.65,0.85,-0.87
190,22402102,2414819,CC1=C(N=C(S1)NC(=O)C2=NNC(=O)C3=CC=CC=C32)C4=CC=C(C=C4)OC,Active,41,,,>,100,0.402,4.132,,87.817,35.49,20,3.6,0.313,35.49,17.59,23.22,20.27,13.24,12.43,3.6,4.21,5.55,6.04
191,17513695,944930,CC1=CC2=C(C3=C(O2)C=CC(=C3)OC)C(=[N+]1[O-])C4=CC=C(C=C4)Cl,Active,41,,,>,100,-0.049,3.054,>,9999,34.95,0.039,18.76,20,18.76,25.22,30.7,28.11,32.26,33.76,33.86,33.18,33.17,34.95
192,24789406,3097507,C1=CSC(=C1)C(=O)NNC(=O)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,,,,,,,4.62,20,-2.68,0.039,4.62,2.22,4.09,1.64,1.24,0.6,0.45,-1.43,-0.45,-2.68
193,14740327,779949,CN(CCC1=CC(=C(C=C1)OC)OC)CC2=C(C=C(C=C2)F)F,Inactive,0,,,,,,,,,3.03,20,-2.95,0.625,3.03,-0.01,2.58,1.06,2.58,-2.95,0.43,-0.73,-2.59,-1.7
194,7976904,1376272,COC1=CC=CC=C1N2CCN(CC2)CC3=CC=C(C4=CC=CC=C34)OC,Inactive,0,,,,,,,,,11.11,20,1.24,1.25,11.11,4.55,4.64,1.98,1.24,2.17,2.15,1.93,1.37,2.12
195,14727022,2251001,C1=CC2=C(C=C1Cl)N=C(O2)/C(=C/NC3=NC=C(C=C3)Cl)/C=O,Inactive,0,,,,,,,,,13.21,10,1.83,0.039,10.25,13.21,11.42,5.13,4.88,2.5,4.64,3.68,4.53,1.83
196,24794745,16189707,CCOC1=C/C(=C/C2=C(N3C(=NC2=O)SC(=N3)C4=CC=CC=C4)N)/C=CC1=O,Inactive,0,,,,,,,,,18.03,20,-6.39,0.313,18.03,10.33,5.34,3.34,0.66,-3.08,-6.39,-2.42,-1.46,-1.11
197,22403264,823875,CC(C)OC1=CC=CC(=C1)C(=O)NC(=S)NC2=CC=CC=C2,Inactive,0,,,,,,,,,6.77,20,-1.1,0.625,6.77,1.82,0.53,0.04,3.23,-1.1,4.96,-0.4,-0.17,3.44
198,24803621,2906793,C1=CC(=CN=C1)CNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N,Inactive,0,,,,,,,,,3.11,20,-2.75,0.156,3.11,0.47,0.89,-1.95,0.48,-2.31,-1.87,-2.75,-1,1.88
199,22404441,749280,CC(C)C1=CC=C(C=C1)C2=C(C3=CC=CC=C3C(=O)C2=O)O,Inactive,0,,,,,,,,,14.34,20,-1.12,1.25,14.34,11.97,4.18,2.84,-1.12,2.54,-1.02,2.34,4.42,0.64
200,4264596,745587,C1CN(CN(C1)CC2=CC=CC=C2O)CC3=CC=CC=C3O,Inactive,0,,,,,,,,,3.88,0.039,-2.94,5,2.17,1.93,-2.94,2.62,2.46,1.2,2.51,0.02,-1.99,3.88
201,22417002,1321408,CC(C)(C)C1=NN=C(S1)NC(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC,Inactive,0,,,,,,,,,12.75,10,1.02,0.039,11.49,12.75,12.45,10.65,3.3,6.24,5.47,1.81,1.42,1.02
202,14743212,2917025,C1COC2=C(O1)C=CC(=C2)C3=NNC(=C3)C4=C(C=CC(=C4)F)O,Inactive,0,,,,,,,,,7.86,20,-0.82,2.5,7.86,4.01,2.41,-0.82,4.12,0.14,2.56,1.44,-0.55,-0.42
203,14735987,871615,CCSC1=NN=C(S1)NC(=O)C2=CC=C(C=C2)C,Inactive,0,,,,,,,,,5.39,20,-2.9,0.078,5.39,3.12,-0.99,3.26,-2.21,1.48,-2.3,-0.59,-2.9,1.96
204,14732493,694866,C1CCC2=C(C1)C3=C(S2)N=C(OC3=O)C4=CC=CC=C4,Inactive,0,,,,,,,,,24.88,20,-0.77,0.313,24.88,6.63,2.81,4.36,10.2,0.17,-0.77,1.3,4.37,0.16
205,22400573,1422878,C1=CC(=CC=C1/C=C/2\C(=O)NC(=O)S2)OC3=NC=C(C=C3)[N+](=O)[O-],Inactive,0,,,,,,,,,12.75,20,-1.54,0.078,12.75,3.75,3.8,2.76,3.63,0.77,1.92,3.72,-1.54,2.36
206,17431701,698279,C1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)NC(=O)C4=CC=CS4,Inactive,0,,,,,,,,,20.63,20,-2.41,0.625,20.63,18.1,10.08,1.32,-0.11,-2.41,-1.33,1.93,2.79,0.53
207,14724920,690917,C1CCC2=C(C1)C3=C(S2)N=C(OC3=O)C4=CC=CS4,Inactive,0,,,,,,,,,21.23,20,-2.24,0.078,21.23,11.52,6.29,2.33,3.04,-0.82,1.54,3.99,-2.24,-0.6
208,24820826,3148028,C1=CC(=CC=C1OCC(=O)NC2=NC=C(S2)[N+](=O)[O-])Cl,Inactive,0,,,,,,,,,25.34,20,-1.34,0.078,25.34,14.71,11.16,7.63,4.61,4.09,5.63,0.82,-1.34,0.01
209,4243060,3237836,C1CCC(CC1)C2=C(C(=NC(=C2C#N)SCC#N)N)C#N,Inactive,0,,,,,,,,,12.93,5,0.22,10,6.59,0.22,12.93,3.32,4.23,4.85,4.16,3.07,2.09,0.58
210,24811017,703060,C1=CC(=CC=C1NC(=O)C2=C(C=NN2)[N+](=O)[O-])OC(F)(F)F,Inactive,0,,,,,,,,,25.34,20,-0.82,0.313,25.34,16.78,7.22,16.84,6.44,1.43,-0.82,2.26,5.63,-0.4
211,17509987,6534115,COC1=CC=CC=C1/C=C/C=C/2\C(=O)OC(=N2)/C=C/C3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,25.17,20,-2.38,0.625,25.17,6.77,0.99,3.96,1.22,-2.38,-2.1,3.19,0.09,0.4
212,17509377,3656403,C1=CC=C(C=C1)C(=O)NN2C(=O)C3=CC=CC=C3N=C2SCC4=CC(=CC=C4)[N+](=O)[O-],Inactive,0,,,,,,,,,29.76,20,-0.31,1.25,29.76,13.46,5.65,4.3,-0.31,3.75,1.51,-0.12,2.05,1.54
213,4245077,3239592,CCCCN1C(=O)C2=C(C=CS2)N=C1SCC(=O)N3CCN(CC3)C4=CC=CC=C4,Inactive,0,,,,,,,,,11.95,5,-1.56,0.039,6.77,11.05,11.95,1.09,6.51,1.25,0.51,5.3,2.82,-1.56
214,24780669,54683788,CCCN1C2=C(CCCC2)C(=C(C1=O)C(=O)NC3=NC4=CC=CC=C4S3)O,Inactive,0,,,,,,,,,19.33,20,0.5,0.039,19.33,13.35,15.74,7.46,3.37,1.1,1.82,2.42,3.83,0.5
215,4254599,755947,C1CSCC2=C1NC3=C2C=C(C=C3)C(=O)O,Inactive,0,,,,,,,,,9.31,0.078,0.8,0.039,2.13,2.95,3.92,0.91,1.46,2.37,5.8,3.87,9.31,0.8
216,4257215,872346,CC1=C2C(=CC=C1)C3=NN=NN3C(=N2)C4=CC=CC=C4,Inactive,0,,,,,,,,,3.22,5,-3.78,0.313,-3.74,0.9,3.22,-0.67,-1.12,-1.9,-3.78,-1.96,-1,1.03
217,17413490,1254297,C1=CC=C(C=C1)CSCC(=O)NC2=CC=CC(=C2)C(=O)NC3=CC=CC=C3C(=O)O,Inactive,0,,,,,,,,,9.16,20,-2.01,,9.16,3.89,1.35,-0.11,-0.55,-2.01,1.56,-2.01,0.3,-0.89
218,14724842,759667,C1=CC=NC(=C1)COC2=CC=C(C=C2)C=O,Inactive,0,,,,,,,,,4.1,0.039,-0.56,0.156,2.77,0.08,3.2,1.67,2.39,2.09,1.54,-0.56,2.26,4.1
219,17506912,1340954,CC1=CC(=CC=C1)OCC(=O)NC2=CC=CC(=C2)C(=O)NC3=CC=CC=C3C(=O)O,Inactive,0,,,,,,,,,27.32,20,-1.61,0.625,27.32,17.49,5.53,2.52,1.96,-1.61,0.26,-1.5,14.16,-1.31
220,7976492,703864,C1CCC2=C(C1)C(=C(S2)NC(=O)C3=CC=CS3)C(=O)O,Inactive,0,,,,,,,,,25.32,20,-0.95,0.039,25.32,14.23,9.39,5.3,1.25,7.15,1.02,2.59,4.77,-0.95
221,4260569,2269367,C1C(=O)NC(=O)N(C1=O)CC2=CC=CO2,Inactive,0,,,,,,,,,4.04,2.5,-2.22,0.039,2.11,-1.07,1.47,4.04,2.78,0.84,-1.64,0.67,1.08,-2.22
222,17415588,1230936,C1=CC=C(C(=C1)C(=O)O)NC(=O)C2=CC(=CC=C2)NC(=O)CSCC3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,23.47,20,-1.04,0.156,23.47,9.47,8.09,3.91,0.74,0.92,2.79,-1.04,-0.77,-0.89
223,14725079,1567474,C1COCCN1CCCNC2=C3C(=CSC3=NC=N2)C4=CC=CC=C4,Inactive,0,,,,,,,,,4.35,5,-1.34,0.039,4.19,1.93,4.35,0.16,1.46,3.31,0.45,0.39,2.09,-1.34
224,17412379,1851375,CCOC(=O)C1=C(SC(=C1C)C(=O)OCC)NC(=S)NC(=O)C2=CC(=CC=C2)Cl,Inactive,0,,,,,,,,,3.21,2.5,-4.56,5,1.04,-1.84,-4.56,3.21,1.99,-1.48,-1.48,-0.84,-0.71,-3.47
225,14740604,804835,C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C3=CC=CC4=CC=CC=C43,Inactive,0,,,,,,,,,12.55,10,-2.46,0.313,0.01,12.55,6.22,3.54,1.46,4.4,-2.46,-0.56,0.87,-0.94
226,17414992,954581,CC1=CC=C(C=C1)CSCC2=NC3=CC=CC=C3N2,Inactive,0,,,,,,,,,12.94,20,-2.49,0.039,12.94,10.25,8.52,6.98,2.89,-0.47,3.27,3.63,-0.82,-2.49
227,17433648,1798172,CC1=CC(=C(C(=C1)C)NC(=S)NC(=O)C2=CC=C(C=C2)C3=CC=CC=C3)C,Inactive,0,,,,,,,,,14.95,20,0.15,0.078,14.95,9.2,4.81,5.46,3.97,1.12,3.14,1.16,0.15,4.24
228,24795043,753638,CC1=CC(=C(C=C1)NC(=O)C2=CC(=CN=C2)Br)O,Inactive,0,,,,,,,,,13.76,20,-4.08,0.078,13.76,9.42,3.95,10.19,3.65,2.51,3.07,0.97,-4.08,0.98
229,4263110,892092,CC1=NN=C(S1)SCC(=O)N2CCC3=CC=CC=C32,Inactive,0,,,,,,,,,4.78,0.078,-0.49,0.625,3.29,3.64,1.69,1.35,3.23,-0.49,1.96,1.48,4.78,4.3
230,17408088,2197678,C1CCC2=C(C1)C(=C(S2)NC(=O)CSC3=NN=C(O3)C4=CC=CC=C4)C#N,Inactive,0,,,,,,,,,3.19,0.078,-5.67,5,-0.12,-0.93,-5.67,0.35,2.21,-1.41,-0.97,-0.45,3.19,1.93
231,24803706,1306410,CC1=CC(=CC=C1)N2C(=O)C3=C(N4C2=NNC4=S)SC5=C3CCC5,Inactive,0,,,,,,,,,7.97,20,-1.13,0.625,7.97,3.04,6.03,1.45,2.17,-1.13,0.69,0.29,4.75,6.6
232,4254818,1289158,C1CN(CCN1CC2=NC(=NO2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=CC=C4F,Inactive,0,,,,,,,,,19.95,20,-2.84,2.5,19.95,14.12,5.5,-2.84,0.45,-0.24,-0.35,0.27,-2.26,3.2
233,17433262,135425051,COC1=C(C=C(C=C1)/C=C/C2=NC(=NN2)C3=CC=CC=C3O)OC,Inactive,0,,,,,,,,,13.99,20,-2.16,0.078,13.99,7.19,6.22,2.69,-1.15,2.27,-0.73,0.22,-2.16,0.09
234,4258716,2204965,CCOC(=O)C1=C(SC(=C1C)C)NC(=O)CSC2=NC=NN2,Inactive,0,,,,,,,,,20.97,20,-6.46,0.039,20.97,16.85,1.92,-1.45,6.39,-4.01,-3.35,-2.01,-1.38,-6.46
235,24792996,969985,C1CCC(CC1)NC(=S)NNC(=O)C2=CC=C(S2)Cl,Inactive,0,,,,,,,,,28.28,20,-0.33,0.078,28.28,9.25,6.1,7.08,5.48,0.89,6.06,1.68,-0.33,0.24
236,24792596,971083,CCN1C(=C(C(=N1)C)NC(=O)NC2=C(C(=CC=C2)Cl)Cl)C,Inactive,0,,,,,,,,,4.88,2.5,-1.62,0.078,2.62,-0.42,3.04,4.88,3,3.06,0.51,1.41,-1.62,1.11
237,4265607,852350,C1=CC=C(C=C1)C2=NSC(=N2)NC(=O)CSC3=NC=NN3,Inactive,0,,,,,,,,,6.8,5,-0.52,0.078,6.55,4.94,6.8,1.16,0.38,0.14,4.09,0.94,-0.52,0.06
238,4257928,972595,C1=CC=C(C=C1)C2=NSC(=N2)NC(=O)C3=CC=CS3,Inactive,0,,,,,,,,,15.22,20,-2.34,0.078,15.22,10.91,8.23,4.71,4.54,1.46,-0.14,2.71,-2.34,2.24
239,14738955,829892,CCC1=CC=C(O1)CCC(=O)NC2=CC=CC=C2C(=O)O,Inactive,0,,,,,,,,,21.88,20,-0.58,0.039,21.88,7.47,10.22,1.91,4.88,2.42,1.18,0.63,2.09,-0.58
240,4256744,2223441,C=CCSC1=NN=C(S1)NC(=O)CSC2=NC3=CC=CC=C3O2,Inactive,0,,,,,,,,,21.82,20,-0.36,0.078,21.82,20.34,9.19,7.29,3.72,2.1,4.35,1.6,-0.36,1.27
241,4261688,1246514,CCSC1=NN=C(S1)NC(=O)C2=CC=C(S2)Br,Inactive,0,,,,,,,,,16.82,20,-0.78,0.156,16.82,9.59,4.36,3.02,4.19,2.95,2.68,-0.78,0.15,-0.03
242,14727060,992692,C1CN(CCN1C2=NC(=CS2)C3=CC=C(C=C3)F)C(=O)C4=CC=CO4,Inactive,0,,,,,,,,,17.12,20,-4.48,0.078,17.12,6.07,4.83,4.66,1.27,4.22,0.76,1.11,-4.48,-2.78
243,855617,23666110,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)[O-])N)I)I)O.[Na+],Inactive,0,,,,,,,,,15.34,20,-3.7,1.25,15.34,6.94,6.13,-1.03,-3.7,-3.62,-1.2,-2.53,0.01,-0.26
244,860545,661830,COCCCNC1=NC(=NC2=CC=CC=C21)C3=CC=NC=C3,Inactive,0,,,,,,,,,7.45,20,-2.79,0.078,7.45,6.23,2.98,2.79,1.53,-1.03,2.37,0.7,-2.79,-1.9
245,856667,658018,CCC1=CC2=C(C(=C1O)CN(C)C)OC=C(C2=O)C3=CSC=N3,Inactive,0,,,,,,,,,5.92,20,0.31,0.313,5.92,1.36,3.87,3.96,2.93,0.86,0.31,2.81,2.42,3.89
246,862346,663574,CN1CCC2=C(C1)C(=C3C(=C(SC3=N2)C#N)N)C4=CC=CS4,Inactive,0,,,,,,,,,10.11,20,-0.41,0.156,10.11,8.95,5.93,3.18,0.1,4.75,-0.12,-0.41,1.62,1.97
247,855757,3969,CCCC1=C(C=CC(=C1O)C(=O)C)OCCCCC2=NNN=N2,Inactive,0,,,,,,,,,12.82,20,-0.75,0.078,12.82,8.31,3.2,2.98,0.74,3.15,0.38,0.77,-0.75,0.75
248,856075,657456,C1CN(CC2=C1C3=C(NN=C3N=C2NCC4=CC=CC=C4)N)CC5=CC=CC=C5,Inactive,0,,,,,,,,,10.83,20,-0.56,0.039,10.83,7.66,5.77,5.53,2.58,-0.43,1.28,2.53,2.93,-0.56
249,860911,662184,CC1=CC=C(C=C1)C2C=C(NC3=NN=NN23)C4=CC=C(C=C4)OC,Inactive,0,,,,,,,,,6.94,20,-3.6,2.5,6.94,0.18,0.56,-3.6,-0.21,-0.68,0.05,-2.18,-1.06,-1.83
250,857868,659213,C1CC2=CC=CC=C2N(C1)C(=O)C3=COC(=O)C(=C3)Br,Inactive,0,,,,,,,,,4.27,20,-1.3,0.156,4.27,1.55,-0.73,0.67,3.3,0.32,4.19,-1.3,4.26,2.41
251,4255530,1301211,C1=CC=C(C(=C1)C#N)NC(=O)C2=CC=CC=C2OCC(=O)NCC3=CC=CO3,Inactive,0,,,,,,,,,6.97,20,-1.12,0.313,6.97,6.72,5.85,2.03,2.26,2.62,-1.12,-0.1,-0.82,-0.24
252,4259078,584941,CC1C2CC(C1(C)C)C(=C2NC(=O)C)CNC(=O)C,Inactive,0,,,,,,,,,8.86,5,0.7,0.039,2.41,0.81,8.86,4.49,5.57,3.91,2.3,5.25,1.72,0.7
