PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment
6,312358926,118714506,C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,35.6,IC50,=,35600,nM,
7,312358927,118714507,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N,Unspecified,,,,21,IC50,=,21000,nM,
8,312358928,118714508,CSCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,47.5,IC50,=,47500,nM,
9,312358929,118714509,CCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,25.2,IC50,=,25200,nM,
10,312358930,118714510,CC(C)(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,137.2,IC50,=,137200,nM,Outside typical range
11,312358931,118714511,C1=CC=C(C=C1)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Active,,,,3.3,IC50,=,3300,nM,
12,312358932,118714512,C1C(N(CC2=CC=CC=C21)C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C3=CC=CC=C3)C(=O)N,Unspecified,,,,65.8,IC50,=,65800,nM,
13,312358933,118714513,CCCC[C@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,14.1,IC50,=,14100,nM,
14,312358934,118714514,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC2=CC=CC=C2C(=O)N,Unspecified,,,,15.8,IC50,=,15800,nM,
15,312358935,118714515,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N,Unspecified,,,,17.6,IC50,=,17600,nM,
16,312358936,118714516,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N,Active,,,,7.4,IC50,=,7400,nM,
17,312358937,118714517,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NCCC(=O)N,Unspecified,,,,109.3,IC50,=,109300,nM,Outside typical range
18,312358938,118714518,CC(C)(C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,46.7,IC50,=,46700,nM,
19,312358939,118714519,C1C[C@H](N(C1)C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2)C(=O)N,Unspecified,,,,191.9,IC50,=,191900,nM,Outside typical range
20,312358940,118714520,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC2=CC=CC(=C2)C(=O)N,Unspecified,,,,96.6,IC50,=,96600,nM,
21,312358941,118714521,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC2=CC=C(C=C2)C(=O)N,Unspecified,,,,92.2,IC50,=,92200,nM,
22,312358942,118714522,C#CCC(C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,17.5,IC50,=,17500,nM,
23,312358943,118714523,C1CCN(C(C1)C(=O)N)C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Unspecified,,,,159.2,IC50,=,159200,nM,Outside typical range
24,312358944,118714524,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CN=CC=C2)C(=O)N,Unspecified,,,,30.1,IC50,=,30100,nM,
25,312358945,118714525,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=CC=N2)C(=O)N,Unspecified,,,,44.3,IC50,=,44300,nM,
26,312358946,118714526,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=C(C=C2)[N+](=O)[O-])C(=O)N,Unspecified,,,,17.5,IC50,=,17500,nM,
27,312358947,118714527,C1=CC=C(C=C1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC2=CC=C(C=C2)C#N)C(=O)N,Unspecified,,,,14.4,IC50,=,14400,nM,
28,312358948,118714528,C1CCC(CC1)C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Active,,,,8.2,IC50,=,8200,nM,
29,312358949,118714529,C1CCC(CC1)C(C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C2=CC=CC=C2,Unspecified,,,,17.4,IC50,=,17400,nM,
30,312358950,118714530,CC(C)C[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,22.7,IC50,=,22700,nM,
31,312358951,118714531,CC[C@H](C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,28.2,IC50,=,28200,nM,
32,312358952,118714532,C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1)O,Unspecified,,,,98.6,IC50,=,98600,nM,
33,312358953,118714533,CC(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=CC=C1,Unspecified,,,,28.8,IC50,=,28800,nM,
34,312358954,118714534,C1CC1NC(=O)/C(=C/C2=CC=C(C=C2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)NC(C3=CC=CC=C3)C(=O)N)/C#N,Active,,,,1.3,IC50,=,1300,nM,
35,312358955,118714535,C1CCC(C1)N2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C4=CC=CC=C4)C(=O)N)/SC2=O,Active,,,,0.6,IC50,=,600,nM,
36,312358956,118714536,C1CC1NC(=O)/C(=C/C2=CC=C(C=C2)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N3CC4=CC=CC=C4CC3C(=O)N)/C#N,Unspecified,,,,24.9,IC50,=,24900,nM,
37,312358957,118714537,C1CCC(C1)N2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N4CC5=CC=CC=C5CC4C(=O)N)/SC2=O,Unspecified,,,,10.5,IC50,=,10500,nM,
38,312358958,118714538,CC(C)(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C(\C#N)/C(=O)NC2CC2,Unspecified,,,,57.6,IC50,=,57600,nM,
39,312358959,118714539,CC(C)(C)[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)C3CCCC3,Unspecified,,,,29.8,IC50,=,29800,nM,
